Date,Amount,Details
22/09/2020,-25.22,890Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 18/09/2020
22/10/2020,-16.99,UBER *EATS Sydney AU AUS Card xx6271 Value Date: 19/10/2020
23/05/2020,-42.94,UBER *EATS Sydney AU AUS Card xx6271 Value Date: 20/05/2020
23/09/2020,-19.06,HungryPanda AU 0426843655 VI AUS Tap and Pay xx5802 Value Date: 18/09/2020
23/12/2020,-15.68,HungryPanda AU 61383759203 VI AUS Tap and Pay xx5802 Value Date: 20/12/2020
24/06/2020,-36.18,PIN*870 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 21/06/2020
24/07/2020,-13.19,PIN*744 HungryPanda PRAHRAN VIC VI AUS Card xx6271 Value Date: 22/07/2020
24/09/2020,-16.19,271Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 22/09/2020
24/12/2020,-39.56,HungryPanda AU 61383759203 VI AUS Tap and Pay xx5802 Value Date: 22/12/2020
25/04/2020,-35.05,UBER *EATS Sydney AU AUS Card xx6271 Value Date: 22/04/2020
25/06/2020,-28.39,PIN*142 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 22/06/2020
25/07/2020,-18.07,PIN*670 HungryPanda PRAHRAN VIC VI AUS Card xx6271 Value Date: 23/07/2020
25/08/2020,-14.02,912Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 21/08/2020
25/08/2020,-12.43,EASI AUSTRALIA PTY LTD DOCKLANDS VI AUS Tap and Pay xx5802 Value Date: 22/08/2020
26/05/2020,-49.99,UBER *EATS Sydney AU AUS Card xx6271 Value Date: 21/05/2020
26/06/2020,-34.1,PIN*669 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 23/06/2020
26/08/2020,-18.43,565Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 22/08/2020
26/08/2020,-17.15,210Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 23/08/2020
26/11/2020,-16.19,HungryPanda AU 61383759203 VI AUS Tap and Pay xx5802 Value Date: 23/11/2020
27/08/2020,-16.24,503Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 25/08/2020
27/10/2020,-10.56,123Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 23/10/2020
27/10/2020,-18.24,535Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 23/10/2020
28/07/2020,-34.09,PIN*543 HungryPanda PRAHRAN VIC VI AUS Card xx6271 Value Date: 24/07/2020
28/07/2020,-18.07,PIN*484 HungryPanda PRAHRAN VIC VI AUS Card xx6271 Value Date: 24/07/2020
29/07/2020,-14.21,PIN*492 HungryPanda PRAHRAN VIC VI AUS Card xx6271 Value Date: 25/07/2020
29/09/2020,-15.68,842Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 25/09/2020
29/09/2020,-36.69,391Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 26/09/2020
29/09/2020,-17.01,227Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 25/09/2020
30/05/2020,-34.1,PIN*700 HungryPanda PRAHRAN VI AUS Card xx6271 Value Date: 27/05/2020
30/07/2020,-26.59,UBER *EATS Sydney AU AUS Card xx6271 Value Date: 27/07/2020
30/09/2020,-18.04,167Pin* HungryPanda PRAHRAN AUS Card xx6271 Value Date: 27/09/2020
30/12/2020,-20.29,HungryPanda AU 61383759203 VI AUS Tap and Pay xx5802 Value Date: 25/12/2020
30/12/2020,-16.19,HungryPanda AU 61383759203 VI AUS Tap and Pay xx5802 Value Date: 26/12/2020
